#x  FES  der_FES_x
-1.46246246246 2.30145234614 3.91967805268
-1.45645645646 2.32540954417 4.05682366153
-1.45045045045 2.35018296069 4.19147993669
-1.44444444444 2.37575765152 4.32364905314
-1.43843843844 2.40211868506 4.45333303519
-1.43243243243 2.42925114143 4.5805337517
-1.42642642643 2.4571401115 4.70525291076
-1.42042042042 2.48577069591 4.82749205402
-1.41441441441 2.51512800404 4.94725255037
-1.40840840841 2.54519715297 5.06453558898
-1.4024024024 2.57596326637 5.17934217153
-1.3963963964 2.60741147335 5.29167310359
-1.39039039039 2.63952690726 5.40152898491
-1.38438438438 2.6722947044 5.50891019845
-1.37837837838 2.70570000273 5.613816898
-1.37237237237 2.73972794041 5.71624899404
-1.36636636637 2.77436365431 5.81620613763
-1.36036036036 2.8095922784 5.9136877019
-1.35435435435 2.84539894202 6.00869276082
-1.34834834835 2.88176876802 6.10122006467
-1.34234234234 2.91868687073 6.19126801166
-1.33633633634 2.95613835375 6.27883461506
-1.33033033033 2.99410830755 6.36391746501
-1.32432432432 3.03258180678 6.44651368398
-1.31831831832 3.07154390735 6.52661987501
-1.31231231231 3.11097964312 6.6042320611
-1.30630630631 3.1508740222 6.67934561448
-1.3003003003 3.19121202287 6.75195517384
-1.29429429429 3.23197858885 6.82205454735
-1.28828828829 3.27315862404 6.88963659908
-1.28228228228 3.31473698644 6.9546931159
-1.27627627628 3.35669848129 7.01721465138
-1.27027027027 3.39902785312 7.07719034274
-1.26426426426 3.4417097767 7.13460769625
-1.25825825826 3.48472884647 7.18945233568
-1.25225225225 3.52806956451 7.24170770741
-1.24624624625 3.57171632644 7.29135473517
-1.24024024024 3.61565340518 7.33837141567
-1.23423423423 3.65986493204 7.38273234585
-1.22822822823 3.7043348748 7.4244081702
-1.22222222222 3.74904701216 7.46336493569
-1.21621621622 3.79398490405 7.49956333969
-1.21021021021 3.83913185708 7.53295785426
-1.2042042042 3.88447088428 7.56349570819
-1.1981981982 3.92998465838 7.5911157057
-1.19219219219 3.97565545733 7.61574685845
-1.18618618619 4.02146510112 7.63730680442
-1.18018018018 4.0673948784 7.65569998535
-1.17417417417 4.11342546131 7.67081555108
-1.16816816817 4.15953680694 7.68252495736
-1.16216216216 4.20570804338 7.6906792212
-1.15615615616 4.25191733813 7.69510579682
-1.15015015015 4.29814174664 7.69560503433
-1.14414414414 4.34435703824 7.69194618453
-1.13813813814 4.39053749661 7.68386291555
-1.13213213213 4.43665569188 7.67104831266
-1.12612612613 4.48268222108 7.65314934096
-1.12012012012 4.52858541369 7.62976076397
-1.11411411411 4.57433099903 7.60041852992
-1.10810810811 4.61988173237 7.5645926636
-1.1021021021 4.66519697697 7.52167973668
-1.0960960961 4.71023223972 7.47099503535
-1.09009009009 4.75493865908 7.41176460324
-1.08408408408 4.79926244516 7.3431174118
-1.07807807808 4.84314427363 7.26407800177
-1.07207207207 4.88651863738 7.17356004945
-1.06606606607 4.92931316312 7.07036144071
-1.06006006006 4.97144790393 6.95316158236
-1.05405405405 5.01283462356 6.82052184157
-1.04804804805 5.05337609422 6.6708901703
-1.04204204204 5.09296543642 6.50261113212
-1.03603603604 5.13148553725 6.31394268156
-1.03003003003 5.16880859175 6.10308112642
-1.02402402402 5.20479582105 5.868195693
-1.01801801802 5.23929742891 5.60747397158
-1.01201201201 5.27215286575 5.31917919403
-1.00600600601 5.30319147328 5.00171973953
-1.0 5.33223358335 4.65373043873
-0.993993993994 5.35909213921 4.27416413301
-0.987987987988 5.38357489425 3.86239056689
-0.981981981982 5.4054872211 3.41829812259
-0.975975975976 5.42463553236 2.94239229254
-0.96996996997 5.44083127266 2.43588334352
-0.963963963964 5.45389539234 1.90075463161
-0.957957957958 5.46366316012 1.33980277883
-0.951951951952 5.46998911942 0.756641687416
-0.945945945946 5.47275194916 0.155664306018
-0.93993993994 5.47185896093 -0.458040842523
-0.933933933934 5.46724995706 -1.07881735269
-0.927927927928 5.45890019393 -1.70060737359
-0.921921921922 5.44682224086 -2.31714705443
-0.915915915916 5.43106659568 -2.92217787277
-0.90990990991 5.41172100515 -3.50965879295
-0.903903903904 5.3889085321 -4.07396408419
-0.897897897898 5.36278449964 -4.61005333995
-0.891891891892 5.33353251601 -5.11360347405
-0.885885885886 5.30135983328 -5.58109666255
-0.87987987988 5.26649231585 -6.0098626727
-0.873873873874 5.22916929067 -6.398078121
-0.867867867868 5.18963852461 -6.74472843716
-0.861861861862 5.14815153166 -7.0495404061
-0.855855855856 5.10495936057 -7.31289407194
-0.84984984985 5.06030896023 -7.53572265822
-0.843843843844 5.01444016948 -7.71940824383
-0.837837837838 4.96758333568 -7.8656795338
-0.831831831832 4.91995753244 -7.97651645839
-0.825825825826 4.87176932416 -8.05406474887
-0.81981981982 4.82321200993 -8.10056222768
